order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer,transfer_is_happy_customer,transfer_is_expedited_delivery
ORD212266,ID0131247270,2019-04-07,Nickolson,"[('Toshika 750', 2), ('Universe Note', 2), ('pearTV', 2)]",28160,64.85,-37.8129752,144.96192230000003,15,24000.85,Autumn,False,0.9173,"it's pretty good the phone's not bad, especially for the price. the only issue i have with it is that the fingerprint scanner does not work, but i can live with that.",True,1,0
ORD333380,ID0227770421,2019-05-03,Bakers,"[('Universe Note', 2), ('iStream', 1), ('Olivia x460', 1)]",8275,69.07,-37.7990396,144.9850633,0,8344.07,Autumn,False,1.5124,"get it... for the price it's worth buying it, works well so far, what i like about this phone is that it's unlocked so you can go to whatever service you like, without the hassle of dealing with the service company.",True,1,0
ORD409815,ID0122736330,2019-09-05,Thompson,"[('iAssist Line', 2), ('Olivia x460', 1), ('Candle Inferno', 1)]",6105,71.57,-37.8122894,144.94555580000005,5,5871.32,Spring,False,0.1398,"none this alcon 6s renewed is the best investment i have ever made, looked brand new and work well. i recommend it to everyone.",True,1,0
ORD447364,ID3810929387,2019-06-23,Bakers,"[('iAssist Line', 2), ('Lucent 330S', 2), ('Alcon 10', 2)]",24810,79.34,-37.8199985,144.9978839,5,23648.84,Winter,True,1.1376,four stars it's very good quality used phone.,True,1,1
ORD385259,ID0248746959,2019-06-14,Bakers,"[('Lucent 330S', 1), ('pearTV', 2), ('iAssist Line', 1)]",16075,77.74,-37.8183898,144.98991759999996,0,16152.74,Winter,True,1.0447,very good quality,True,1,1
ORD300160,ID0576824181,2019-06-15,Nickolson,"[('pearTV', 1), ('Universe Note', 1)]",9760,78.57,-37.8196669,144.9809954,15,8374.57,Winter,True,1.0134,five stars love this phone. very nice!,True,1,1
ORD123786,ID0746912605,2019-07-23,Nickolson,"[('pearTV', 2), ('Alcon 10', 2)]",30520,69.5,-37.8246047,144.98463130000005,10,27537.5,Winter,False,1.4852,excelente producto. regalo para mi hijo de 11 años. es perfecto todas sus funciones perfectas.,True,1,0
ORD182306,ID0313278042,2019-08-22,Nickolson,"[('Lucent 330S', 2), ('Thunder line', 1), ('pearTV', 2)]",17260,67.55,-37.8093191,144.96258980000005,5,16464.55,Winter,False,1.2004,"best smartphone yet, won't disappoint! this is my third pixel device & definitely a wonderful smartphone! the performance is amazing & better than other devices running android, the camera is second to none, and i wouldn't go back to an alcon if they were free!",True,1,0
ORD257049,ID0641024156,2019-10-06,Thompson,"[('iAssist Line', 1), ('Alcon 10', 2), ('Candle Inferno', 1), ('Universe Note', 2)]",27455,74.78,-37.8087588,144.942034,10,24784.28,Spring,False,0.6212,five stars i love it and the camera quality is great.,True,1,0
ORD024599,ID6167359493,2019-03-08,Nickolson,"[('Universe Note', 1), ('Lucent 330S', 1)]",4680,64.4,-37.810853,144.9730038,15,4042.4,Autumn,True,0.9137,bad bad,False,0,1
ORD404818,ID0650268133,2019-05-20,Nickolson,"[('iStream', 1), ('iAssist Line', 2), ('Candle Inferno', 1)]",5030,78.9,-37.815194,144.9750308,25,3851.4,Autumn,True,0.6128,this products showed up in better condition than i was expecting it to this products showed up in better condition than i was expecting it to. so far i have no complaints about my purchase.,True,1,1
ORD332217,ID1327098209,2019-03-18,Nickolson,"[('iStream', 2), ('pearTV', 2)]",12920,38.345,-37.8141364,144.96572880000005,10,11666.345,Autumn,True,0.5994,just ok good,True,1,1
ORD437745,ID0144730321,2019-10-18,Nickolson,"[('Thunder line', 2), ('iAssist Line', 1), ('Universe Note', 1)]",10035,81.09,-37.81879910000001,144.95732560000005,10,9112.59,Spring,False,1.0753,bought this for our 8 year old for christmas. looks like he's going to love it!,True,1,0
ORD323738,ID2189145397,2019-08-09,Thompson,"[('Toshika 750', 2), ('Olivia x460', 2), ('iStream', 2), ('Candle Inferno', 1)]",11820,64.71,-37.8155766,144.9582817,0,11884.71,Winter,True,1.0377,disappointing bad battery,False,0,1
ORD027693,ID1350323383,2019-08-27,Nickolson,"[('pearTV', 1), ('iStream', 2), ('Lucent 330S', 1)]",7840,64.83,-37.8203612,144.9777006,0,7904.83,Winter,False,0.7431,"and frustrating if you're used to the new and best. it's a great starter phone for first time ... it's an older model, so you can only expect that its slower, outdated, and frustrating if you're used to the new and best. it's a great starter phone for first time users, or new smart phone users.",True,1,0
ORD163377,ID0595842994,2019-03-23,Nickolson,"[('pearTV', 2), ('Olivia x460', 1)]",13845,78.63,-37.8123366,144.9698475,25,10462.38,Autumn,True,0.6972,excellent like new..,True,1,1
ORD118054,ID1668523120,2019-03-08,Thompson,"[('iStream', 2), ('iAssist Line', 2)]",4750,61.18,-37.8126722,144.9447694,15,4098.68,Autumn,True,0.2022,"i was somewhat disappointed to discover iassist could not seem to answer what i thought were fairly simple questions (mileage distance between locations, etc.). additionally, i was not comfortable upon discovering the product constantly recorded conversations.",False,0,1
ORD494187,ID1668523284,2019-11-05,Nickolson,"[('Candle Inferno', 1), ('iStream', 2), ('Olivia x460', 2), ('Thunder line', 1)]",5360,100.95,-37.8213397,144.96243,0,5460.95,Spring,True,0.6967,works with verizon good phone that works with verizon,True,1,1
ORD075145,ID0780992474,2019-07-07,Thompson,"[('iStream', 1), ('iAssist Line', 2), ('pearTV', 2)]",17220,61.49,-37.8052814,144.95065280000003,0,17281.49,Winter,True,0.8811,"downgrade from the mia2.... sadly don't be fooled by the smaller bezels, it's worse than last year's phone. the mia1 was an awesome phone full of potential then the mia2 was a bit better but lost some features. this year we get a 720p screen like wtf. for the first time i'll recommend the lucentg over the mi series so sad.",False,0,1
ORD148731,ID0746924351,2019-05-23,Nickolson,"[('Candle Inferno', 2), ('iStream', 2)]",1160,68.36,-37.8239805,144.98272759999998,0,1228.36,Autumn,False,1.3046,five stars best phone ever. rugged loud wish they still made these.,True,1,0
ORD494465,ID0591264806,2019-12-12,Nickolson,"[('Candle Inferno', 1), ('iAssist Line', 1)]",2655,76.2,-37.8238015,144.9561181,10,2465.7,Summer,False,1.3157,"i bought it for my dad, he likes it ... i bought it for my dad, he likes it, the only problem we have is the battery life, it drains quickly.",True,1,0
ORD434915,ID6282174121,2019-10-21,Nickolson,"[('iStream', 2), ('Alcon 10', 2), ('Olivia x460', 2), ('pearTV', 2)]",33270,60.44,-37.8230512,144.9764732,15,28339.94,Spring,False,0.7852,"poor quality on ""like new"" products. this is the second phone from the same company and both have been faulty. the ""like new"" one cost more and was cosmetically damaged with chips and scratches. don't trust the descriptions.",False,0,0
ORD267734,ID0092159669,2019-02-11,Nickolson,"[('Olivia x460', 1), ('iAssist Line', 2)]",5675,78.41,-37.8210938,144.9618111,15,4902.16,Summer,True,0.7352,"digico solve the problem. problems with wifi, and network connection. thanks to digico to solve this.",False,0,1
ORD255314,ID0777782541,2019-04-22,Thompson,"[('Alcon 10', 2), ('Thunder line', 1)]",20080,66.72,-37.8045815,144.9537947,10,18138.72,Autumn,True,1.0776,did not last long barely a month after getting phone it no longer works. recent software updates have made the phone unusable. makes me think there was underlying issues with phone itself.,False,0,1
ORD453222,ID0163364760,2019-07-16,Thompson,"[('iAssist Line', 1), ('Universe Note', 1)]",5675,76.33,-37.8140035,144.9524232,0,5751.33,Winter,True,0.4936,five stars excellent product.,True,1,1
ORD090002,ID0443274277,2019-07-01,Bakers,"[('Olivia x460', 2), ('Alcon 10', 2)]",20350,80.43,-37.8186856,145.00534230000005,5,19412.93,Winter,True,1.3138,deserves every penny i bought this item cheaper than the market. there are unbelievable future for this price. i love it.,True,1,1
ORD283109,ID4716795184,2019-03-04,Thompson,"[('Alcon 10', 2), ('Universe Note', 1), ('pearTV', 2), ('iAssist Line', 1)]",36195,50.42,-37.81903370000001,144.95244630000005,10,32625.92,Autumn,False,0.8514,×××××××××× phone just worked 9 months i still have it as on my tv entreteimen center as a reminder to never buy used things from digicoe again,False,0,0
ORD343834,ID0060088415,2019-07-14,Nickolson,"[('iAssist Line', 1), ('Toshika 750', 1), ('Universe Note', 2)]",13445,79.4,-37.8204811,144.9840904,25,10163.15,Winter,True,1.2956,five stars excellent product,True,1,1
ORD450999,ID5172636078,2019-08-26,Bakers,"[('Candle Inferno', 1), ('iStream', 1)]",580,48.01,-37.8116447,145.0040335,25,483.01,Winter,False,0.7955,so discouraged. had phone working for about 6hrs and ... so discouraged. had phone working for about 6hrs and then went to charge and turned phone off. now can't turn phone back on! just spent $50 on a sim card!,False,0,0
ORD041552,ID0844489496,2019-10-21,Thompson,"[('Universe Note', 2), ('Olivia x460', 2), ('Toshika 750', 2)]",17990,78.09,-37.8209271,144.9475738,15,15369.59,Spring,False,0.9199,good phone purchased this product to use with mint mobile services and so far everything is great!,True,1,0
ORD287961,ID0356126633,2019-06-15,Bakers,"[('iAssist Line', 2), ('pearTV', 2), ('iStream', 1), ('Universe Note', 1)]",20670,79.47,-37.8191873,144.9876191,5,19715.97,Winter,True,1.2227,bought for my bathroom to listen when i'm in the shower.  love it.,True,1,1
ORD164456,ID3229057023,2019-04-27,Bakers,"[('Olivia x460', 1), ('Universe Note', 2)]",8125,81.13,-37.8022853,145.00331709999998,15,6987.38,Autumn,True,1.1146,nice phone! it's a great phone! the only thing that sucks is the battery life isn't that great. it's nice to have a charger around since it does charge fairly quick.,True,1,1
ORD199176,ID0317535760,2019-07-21,Nickolson,"[('iStream', 1), ('Thunder line', 1), ('iAssist Line', 1), ('Alcon 10', 1)]",13505,79.97,-37.8060103,144.96495330000005,10,12234.47,Winter,True,1.4581,will be on top! 1. call quality is amazingly clear. 2. camera is the best of its class. i love photography and this is the best camera phone. instagram please on window phone 8! 3. i was totally amazed by the screen. very clear! 4. the speakers produces great sounds. 5. it's xp!,True,1,1
ORD183802,ID4157116187,2019-02-10,Bakers,"[('Thunder line', 1), ('Lucent 330S', 2), ('Toshika 750', 1), ('iAssist Line', 2)]",13410,94.11,-37.8183002,144.9968055,0,13504.11,Summer,True,0.9347,"stop shopping around and just get it if you want a good, fast, modern phone and are not sure which one to get, you can't go wrong with this phone. shop shipping around and just get it.",True,1,1
ORD264071,ID6167489458,2019-01-12,Nickolson,"[('Alcon 10', 2), ('Lucent 330S', 2), ('Candle Inferno', 1)]",20790,94.96,-37.8148408,144.960803,25,15687.46,Summer,True,0.8755,"great buy great product. takes nice photos, very reliable.",True,1,1
ORD127387,ID0227508487,2019-11-09,Thompson,"[('pearTV', 2), ('iAssist Line', 2), ('Lucent 330S', 1), ('iStream', 2)]",18600,106.48,-37.80865900000001,144.9588428,25,14056.48,Spring,True,1.1278,can't use with phone case works great.,True,1,1
ORD049926,ID3832146342,2019-08-23,Bakers,"[('Alcon 10', 1), ('iAssist Line', 2), ('Toshika 750', 2), ('Lucent 330S', 2)]",24500,66.09,-37.8053194,145.0150414,5,23341.09,Winter,True,1.8183,two stars phone is lots of trouble and freezing,False,0,1
ORD210454,ID0703556741,2019-01-13,Thompson,"[('pearTV', 1), ('Candle Inferno', 1), ('Universe Note', 2)]",13640,77.74,-37.8063758,144.957978,15,11671.74,Summer,False,1.1882,in perfect conditions. seller 100% recommended the phone came exactly as described. in perfect conditions. seller 100% recommended,True,1,0
ORD078215,ID0367098719,2019-11-26,Thompson,"[('Toshika 750', 2), ('pearTV', 2)]",21260,111.14,-37.79920300000001,144.9613438,25,16056.14,Spring,True,1.9557,easy even for older y ipad came well packaged and has worked perfectly. far exceeds my old ipad that i’ve used for over 10 years. the battery life is much longer that my first one ever was. love the finger print id feature. surprisingly easy to transfer all my stuff from old to the.new one.,True,1,1
ORD445719,ID5797758273,2019-10-05,Thompson,"[('Thunder line', 2), ('Universe Note', 2)]",11260,75.3,-37.8066767,144.9451204,5,10772.3,Spring,False,0.6892,five stars all good phone ok,True,1,0
ORD043614,ID3215191987,2019-05-19,Thompson,"[('pearTV', 1), ('Olivia x460', 2)]",8760,64.75,-37.8061523,144.95149630000003,10,7948.75,Autumn,False,0.8237,"good phone 👍 amazing camera, nice amoled screen calm down it's fine. it blaster only downside is no nfc otherwise solid af.",True,1,0
ORD324372,ID4755607457,2019-11-03,Thompson,"[('Alcon 10', 2), ('Thunder line', 1), ('Olivia x460', 2), ('pearTV', 1)]",28840,112.07,-37.8199697,144.9251126,15,24626.07,Spring,True,2.0947,good material and size good,True,1,1
ORD024658,ID0581703458,2019-02-09,Thompson,"[('Thunder line', 2), ('Olivia x460', 1), ('pearTV', 1), ('Lucent 330S', 2)]",14355,79.47,-37.8097706,144.9300462,5,13716.72,Summer,False,1.5315,edge i loved the phone but my camera stopped working after 3 days do i returned it. i never use all the gadgets on most points but i was excited about the edge on this one,True,1,0
ORD092299,ID0777716590,2019-07-09,Thompson,"[('Toshika 750', 1), ('Olivia x460', 1), ('Lucent 330S', 1), ('pearTV', 1)]",13085,51.97,-37.8055238,144.9555785,10,11828.47,Winter,False,1.0925,phone dies at 50% battery phone was good for a while. less than a month later i noticed the battery life was severely limited. i can now watch the charge drop every second after it hits about 15% (dies within 30 seconds after). today i caught it happening because it completely died when i was using it(see photo).,False,0,0
ORD412948,ID0026680059,2019-04-26,Thompson,"[('iAssist Line', 1), ('Thunder line', 1), ('iStream', 1), ('Alcon 10', 2)]",22455,63.1,-37.8115894,144.94078330000005,10,20272.6,Autumn,False,0.5658,great phone bot this one for my wife. i already had same phone. does all i need it to do. i use it in my business and plenty memory and speed to do all i need it to.,True,1,0
ORD296033,ID0780920704,2019-02-17,Thompson,"[('Candle Inferno', 1), ('Alcon 10', 1), ('Olivia x460', 2)]",11830,86.42,-37.7997877,144.9551709,15,10141.92,Summer,True,1.6016,"one star no good, can't delete two or more text messages at a time. worst phone.",False,0,1
ORD208353,ID0036825328,2019-09-15,Thompson,"[('Thunder line', 1), ('Alcon 10', 2)]",20080,104.29,-37.8253886,144.9458735,0,20184.29,Spring,True,1.4193,"really good, if anything goes wrong because i frequently bang ... olivia j5, wow !!! , thin, light and deff fast enough for me, price, really good, if anything goes wrong because i frequently bang up y phone i would deff buy another",True,1,1
ORD497658,ID1224854808,2019-05-01,Thompson,"[('iStream', 2), ('Toshika 750', 1)]",4620,49.15,-37.81347529999999,144.9405227,10,4207.15,Autumn,False,0.5826,too many problems to deal with. who wants a phone that's doesn't have a notification light.????? there are several problems. mms messaging doesn't work either. i didn't see all these issues when researching this phone. it's a lot of trouble. i wouldn't recommend this phone.,False,0,0
ORD448106,ID1463620952,2019-01-11,Bakers,"[('Thunder line', 2), ('pearTV', 2)]",16980,80.4,-37.8192177,145.0056829,10,15362.4,Summer,False,1.3778,very happy very happy with the phone.,True,1,0
ORD484587,ID0287629353,2019-12-08,Thompson,"[('Lucent 330S', 2), ('Toshika 750', 1), ('Universe Note', 2), ('iStream', 1)]",13830,94.37,-37.80408660000001,144.9508656,0,13924.37,Summer,True,1.0125,"my children love this table great quality of pictures, excellent camera",True,1,1
ORD232596,ID1327054084,2019-07-07,Nickolson,"[('Lucent 330S', 1), ('pearTV', 2)]",13850,62.57,-37.8135283,144.9651206,15,11835.07,Winter,False,0.6855,"high-end features for half the price! amazing phone with way more features than one would expect. also very high water resistance rating, excellent cameras, and plenty of memory with a memory card slot. using mine with google-fi and am super happy that i took the chance!",True,1,0
ORD212296,ID0589398626,2019-06-13,Nickolson,"[('iAssist Line', 2), ('Alcon 10', 1)]",13400,64.74,-37.8123696,144.9736957,0,13464.74,Winter,False,0.783,great for the price cheap,True,1,0
ORD398857,ID0317369537,2019-05-29,Thompson,"[('Lucent 330S', 2), ('Alcon 10', 1), ('Universe Note', 1), ('Olivia x460', 2)]",17310,66.15,-37.8073136,144.9556261,15,14779.65,Autumn,False,0.9604,love it i like it...best phone i ever had so far,True,1,0
ORD042717,ID0053132171,2019-01-10,Thompson,"[('Toshika 750', 1), ('Olivia x460', 2)]",6770,84.59,-37.7994315,144.9530465,15,5839.09,Summer,True,1.565,"3g technology is gone my family has the flip phones. just advised today we can no longer use them, we have to buy new because 3g is no longer being used. save your money!",False,0,1
ORD180725,ID1449431267,2019-06-06,Nickolson,"[('Lucent 330S', 2), ('iAssist Line', 1)]",4685,76.19,-37.8136622,144.9742548,10,4292.69,Winter,True,0.6875,very good value liked price and features,True,1,1
ORD318706,ID0579407285,2019-07-31,Nickolson,"[('Candle Inferno', 1), ('Lucent 330S', 2), ('iAssist Line', 1)]",5115,62.46,-37.82200200000001,144.9686698,25,3898.71,Winter,False,0.3871,"aaesome purchase for mother's day!! bought for my mother who was still using a note 4. she loves it. no complaints, no i just need a magnet for her pen to attach to her hip so she doesnt lose it anymore lmao",True,1,0
ORD146621,ID1996808838,2019-07-01,Bakers,"[('iStream', 1), ('Candle Inferno', 1), ('iAssist Line', 1)]",2805,77.64,-37.8009874,144.992572,5,2742.39,Winter,True,1.0298,"i bought this 8"" digico inferno hd for my wife as a christmas present. her old 7"" digico inferno that she had for about 3-4 years. she is very happy with the 8"" digico inferno hd. can't beat the price for a tablet.",True,1,1
ORD362800,ID0638053773,2019-06-12,Nickolson,"[('Olivia x460', 2), ('Lucent 330S', 2)]",4910,45.52,-37.8177839,144.96602019999995,0,4955.52,Winter,False,0.3233,save yourself the headaches on 3rd.soon to be 4th. all internal software issues. now charging port is failing. worst smartphone i ever owned.,False,0,0
ORD341482,ID2173284657,2019-02-23,Nickolson,"[('iAssist Line', 1), ('Alcon 10', 2), ('Olivia x460', 1), ('Universe Note', 1)]",24800,97.09,-37.825292,144.9586102,5,23657.09,Summer,True,1.2171,my daughter loved it nd i love that she leaves my phone alone now.,True,1,1
ORD435139,ID0576838466,2019-05-01,Bakers,"[('Alcon 10', 1), ('iAssist Line', 1), ('Candle Inferno', 1)]",11605,82.91,-37.8178183,144.9887553,5,11107.66,Autumn,True,1.0405,love this!,True,1,1
ORD247955,ID1895925155,2019-06-20,Thompson,"[('iStream', 2), ('pearTV', 2), ('Lucent 330S', 1)]",14150,68.58,-37.8061852,144.95926540000005,10,12803.58,Winter,False,1.2931,beats the alcon anyday meets my technology needs fast and crystal clear pictures no faded pictures catches every detail one or multiple times to find the best picture,True,1,0
ORD392236,ID0844490708,2019-04-26,Thompson,"[('Universe Note', 2), ('iStream', 1), ('iAssist Line', 2)]",11500,66.32,-37.8206998,144.9488941,25,8691.32,Autumn,False,0.9078,five stars this phone was awesome!!!,True,1,0
ORD254620,ID0477079749,2019-01-04,Bakers,"[('iStream', 1), ('pearTV', 1), ('iAssist Line', 1), ('Toshika 750', 1)]",13005,79.93,-37.8062074,144.9785247,15,11134.18,Summer,False,1.5287,best phone ive had this is a high quality phone for good priced. i put it on straight talk and it works amazing. make sure when you first get it to manually set time and date or your account won't set right but the apps are so much better than pear or android. you will love this phone,True,1,0
ORD049117,ID0385026716,2019-03-16,Bakers,"[('pearTV', 2), ('Olivia x460', 2), ('Thunder line', 2), ('Alcon 10', 1)]",28380,80.31,-37.8013482,144.99436540000005,5,27041.31,Autumn,True,0.9657,got this for my sister as a christmas present and she loved it.easy to use and great for books.,True,1,1
ORD058012,ID0575434365,2019-03-02,Nickolson,"[('iStream', 1), ('Lucent 330S', 1), ('Thunder line', 1), ('Universe Note', 2)]",10460,67.37,-37.8208646,144.98469519999998,10,9481.37,Autumn,False,1.3554,"i like it, it work good thank i like it , it work good thank you",True,1,0
ORD026939,ID2397324992,2019-11-29,Thompson,"[('pearTV', 2), ('Lucent 330S', 2)]",15080,76.64,-37.818954,144.9432642,10,13648.64,Spring,False,0.7751,buy with bigger storage. 64gb not 32gb bought unlocked 32gb version. has pie 9. quality camera and ease of access with fingerprint reader. screen looks great. very satisfied,True,1,0
ORD258116,ID1479905349,2019-01-01,Thompson,"[('pearTV', 1), ('iAssist Line', 1), ('Lucent 330S', 2), ('Toshika 750', 1)]",15315,96.4,-37.8211598,144.9554353,5,14645.65,Summer,True,1.1974,"great phone. loved this phone, the only thing is my lte signal, i used it with t-mobile, signal is erratic. but besides that, the phone is of great quality and gorgeous screen not to mention battery will last a day or two.",True,1,1
ORD291285,ID0361770537,2019-04-25,Bakers,"[('Alcon 10', 1), ('iStream', 1), ('Olivia x460', 1)]",10325,54.5,-37.8004343,144.9804266,0,10379.5,Autumn,False,1.6818,came broken the sim card holder came broke. can't even hook my phone up to it because it came broken. returning it.,False,0,0
ORD111628,ID0122860230,2019-03-28,Nickolson,"[('iAssist Line', 2), ('Alcon 10', 1), ('pearTV', 2), ('Lucent 330S', 2)]",28480,66.44,-37.81936320000001,144.9571746,25,21426.44,Autumn,True,1.0917,broken in under a year i didn't even have the phone a year and the charging port broke.,False,0,1
ORD195733,ID2696097099,2019-11-02,Nickolson,"[('iStream', 2), ('pearTV', 2), ('Olivia x460', 1), ('Universe Note', 1)]",17595,89.85,-37.8239657,144.9595061,5,16805.1,Spring,True,1.0666,"since it is called powerfast, i thought it is a fast charger but it is not fast at all. it worked but it took about 5 hours to charge an almost empty candle inferno hd 8 inch tablet.",False,0,1
ORD344163,ID0579391943,2019-05-24,Nickolson,"[('iAssist Line', 2), ('pearTV', 2), ('Lucent 330S', 1)]",18300,66.3,-37.8221491,144.95605880000005,15,15621.3,Autumn,False,1.2506,five stars very good.,True,1,0
ORD244419,ID6021320917,2019-03-21,Thompson,"[('pearTV', 1), ('Alcon 10', 2)]",24210,79.89,-37.8164175,144.93824640000005,5,23079.39,Autumn,True,0.8807,very good picture and it even takes pictures which is awwsome. you even get a free month of digico gold which came in very handy around christmas time,True,1,1
ORD376168,ID0387153063,2019-10-24,Thompson,"[('Alcon 10', 1), ('pearTV', 1), ('Thunder line', 1)]",17440,80.72,-37.8001791,144.9502079,0,17520.72,Spring,False,1.4179,five stars i brought the olivia universe for my sister. she is loving her phone.,True,1,0
ORD348945,ID4716795548,2019-08-31,Thompson,"[('Olivia x460', 2), ('Toshika 750', 2), ('Alcon 10', 1), ('Universe Note', 2)]",26940,77.52,-37.8191125,144.9527406,0,27017.52,Winter,True,0.8733,"five stars excellent service, everything was fine, seller and phone :)",True,1,1
ORD083540,ID0457365610,2019-01-03,Nickolson,"[('Lucent 330S', 2), ('Olivia x460', 2)]",4910,85.24,-37.8202504,144.97080680000005,15,4258.74,Summer,True,0.2148,this phone it's great i like this phone,True,1,1
